UserID,ImoNumber,Dimension,Eta,Destination,UTCTime
232005533,9404235,"{'A': 76, 'B': 14, 'C': 10, 'D': 5}","{'Day': 27, 'Hour': 12, 'Minute': 0, 'Month': 9}",IEPAW,2023-10-02 01:02:48.756230+00:00
,,,,,
232005890,0,"{'A': 11, 'B': 12, 'C': 3, 'D': 3}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",FISHING             ,2023-10-02 01:02:55.905347+00:00
,,,,,
305069000,9472036,"{'A': 78, 'B': 12, 'C': 8, 'D': 7}","{'Day': 2, 'Hour': 18, 'Minute': 40, 'Month': 10}",GB SSS              ,2023-10-02 01:03:03.281686+00:00
,,,,,
235067374,9476329,"{'A': 10, 'B': 16, 'C': 2, 'D': 2}","{'Day': 19, 'Hour': 7, 'Minute': 30, 'Month': 4}",RONA                ,2023-10-02 01:03:11.835925+00:00
,,,,,
244750645,9772527,"{'A': 75, 'B': 12, 'C': 8, 'D': 7}","{'Day': 30, 'Hour': 18, 'Minute': 30, 'Month': 9}",RINGASKIDDY,2023-10-02 01:03:31.609469+00:00
,,,,,
232343000,8608339,"{'A': 20, 'B': 70, 'C': 8, 'D': 7}","{'Day': 1, 'Hour': 20, 'Minute': 15, 'Month': 10}", GBOBA-GBCNU,2023-10-02 01:03:38.338807+00:00
,,,,,
235234000,922961100,"{'A': 14, 'B': 18, 'C': 2, 'D': 6}","{'Day': 3, 'Hour': 15, 'Minute': 0, 'Month': 10}",MENAI BRIDGE        ,2023-10-02 01:03:44.852380+00:00
,,,,,
219296000,9151577,"{'A': 22, 'B': 63, 'C': 10, 'D': 9}","{'Day': 1, 'Hour': 19, 'Minute': 30, 'Month': 10}",WHITE CROSS         ,2023-10-02 01:03:52.422238+00:00
,,,,,
244333000,9829007,"{'A': 127, 'B': 23, 'C': 5, 'D': 18}","{'Day': 2, 'Hour': 3, 'Minute': 30, 'Month': 10}",IE DUB              ,2023-10-02 01:03:56.461245+00:00
,,,,,
255806171,9404077,"{'A': 134, 'B': 7, 'C': 11, 'D': 11}","{'Day': 2, 'Hour': 17, 'Minute': 0, 'Month': 10}",IE/DUB              ,2023-10-02 01:04:08.401758+00:00
,,,,,
232003389,8008462,"{'A': 5, 'B': 35, 'C': 3, 'D': 7}","{'Day': 30, 'Hour': 14, 'Minute': 40, 'Month': 9}",IOS/PZ,2023-10-02 01:04:11.927567+00:00
,,,,,
235052541,9365178,"{'A': 10, 'B': 60, 'C': 11, 'D': 9}","{'Day': 2, 'Hour': 20, 'Minute': 0, 'Month': 10}",GBRAY GBWMB         ,2023-10-02 01:04:16.445833+00:00
,,,,,
305268000,9404091,"{'A': 134, 'B': 7, 'C': 11, 'D': 11}","{'Day': 1, 'Hour': 18, 'Minute': 30, 'Month': 10}",CORK                ,2023-10-02 01:04:20.636131+00:00
,,,,,
250196000,0,"{'A': 16, 'B': 8, 'C': 3, 'D': 4}","{'Day': 17, 'Hour': 23, 'Minute': 24, 'Month': 7}",SCHULL              ,2023-10-02 01:04:23.956876+00:00
,,,,,
250098000,9112741,"{'A': 11, 'B': 19, 'C': 3, 'D': 9}","{'Day': 31, 'Hour': 23, 'Minute': 59, 'Month': 12}",CORK                ,2023-10-02 01:04:24.694615+00:00
,,,,,
246602000,9385893,"{'A': 115, 'B': 13, 'C': 8, 'D': 7}","{'Day': 2, 'Hour': 9, 'Minute': 0, 'Month': 10}",WARRENPOINT,2023-10-02 01:04:26.896162+00:00
,,,,,
250487000,9244439,"{'A': 30, 'B': 35, 'C': 10, 'D': 5}","{'Day': 8, 'Hour': 9, 'Minute': 0, 'Month': 9}",RESEARCH            ,2023-10-02 01:04:31.052399+00:00
,,,,,
232002653,880760000,"{'A': 24, 'B': 24, 'C': 3, 'D': 8}","{'Day': 29, 'Hour': 13, 'Minute': 0, 'Month': 9}",KYLE OF LOCHALSH    ,2023-10-02 01:04:45.647712+00:00
,,,,,
219195000,9214666,"{'A': 30, 'B': 165, 'C': 13, 'D': 13}","{'Day': 30, 'Hour': 12, 'Minute': 15, 'Month': 9}",GBBRK-GBBEL,2023-10-02 01:05:06.720083+00:00
,,,,,
232001270,7527796,"{'A': 24, 'B': 44, 'C': 9, 'D': 3}","{'Day': 30, 'Hour': 19, 'Minute': 0, 'Month': 9}",PZ/SC/PZ,2023-10-02 01:05:09.967596+00:00
,,,,,
255806016,9354466,"{'A': 14, 'B': 120, 'C': 11, 'D': 11}","{'Day': 2, 'Hour': 16, 'Minute': 0, 'Month': 10}",GBSOU,2023-10-02 01:05:11.237135+00:00
,,,,,
259170000,9921726,"{'A': 25, 'B': 62, 'C': 10, 'D': 8}","{'Day': 21, 'Hour': 12, 'Minute': 34, 'Month': 3}",FISHFARMS           ,2023-10-02 01:05:13.953203+00:00
,,,,,
236669000,9020417,"{'A': 77, 'B': 13, 'C': 9, 'D': 6}","{'Day': 1, 'Hour': 22, 'Minute': 30, 'Month': 10}",GB KYL,2023-10-02 01:05:15.860116+00:00
,,,,,
232023027,0,"{'A': 7, 'B': 8, 'C': 3, 'D': 3}","{'Day': 18, 'Hour': 9, 'Minute': 0, 'Month': 9}",NEWLYN ,2023-10-02 01:05:16.192064+00:00
,,,,,
311000451,9594781,"{'A': 244, 'B': 30, 'C': 22, 'D': 26}","{'Day': 29, 'Hour': 16, 'Minute': 40, 'Month': 9}",GBPEM               ,2023-10-02 01:05:24.132443+00:00
,,,,,
219274000,9854789,"{'A': 145, 'B': 38, 'C': 24, 'D': 8}","{'Day': 29, 'Hour': 8, 'Minute': 0, 'Month': 9}",PEMBROKE            ,2023-10-02 01:05:26.143508+00:00
,,,,,
236522000,9460241,"{'A': 120, 'B': 29, 'C': 14, 'D': 10}","{'Day': 2, 'Hour': 5, 'Minute': 0, 'Month': 10}",FR PJE              ,2023-10-02 01:05:26.844296+00:00
,,,,,
636019586,9389849,"{'A': 190, 'B': 38, 'C': 11, 'D': 21}","{'Day': 28, 'Hour': 8, 'Minute': 0, 'Month': 9}",GBFAL               ,2023-10-02 01:05:27.261630+00:00
,,,,,
352895000,8516574,"{'A': 22, 'B': 11, 'C': 3, 'D': 5}","{'Day': 12, 'Hour': 11, 'Minute': 30, 'Month': 9}",FISH FARMS CH16     ,2023-10-02 01:05:28.071955+00:00
,,,,,
314455000,9229130,"{'A': 75, 'B': 14, 'C': 10, 'D': 4}","{'Day': 3, 'Hour': 20, 'Minute': 0, 'Month': 8}",GBBEL               ,2023-10-02 01:05:38.678147+00:00
