235004756,0,HERITAGE            ,ZNOP4  ,30,3.2,16,5,3,2,8,23,2,0,FISHING'GROUND      ,1,2023-10-12 05:45:27.063547+00:00
245610000,9263590,THUN GEMINI,PBJW,89,4.8,98,16,11,4,10,11,8,0,MILFORDHAVEN,1,2023-10-12 05:45:34.882639+00:00
212931000,9388522,ELBFEEDER,5BKK4,79,7.2,120,14,11,11,10,14,12,0,ANTWERPEN,1,2023-10-12 05:45:38.847052+00:00
234781000,879201300,ILLUSTRIS B119      ,GFBV   ,30,3.2,0,0,0,0,0,0,24,60,PVOGIE              ,1,2023-10-12 05:45:40.262199+00:00
244956000,9467225,DOUWE-S             ,PBMO   ,70,3.7,81,14,4,10,10,12,6,0,GBBEL               ,1,2023-10-12 05:45:50.894087+00:00
244870420,9760378,LADY ARIETTE        ,PDCZ   ,70,4.9,75,13,6,8,10,10,10,0,KINSALE             ,1,2023-10-12 05:45:53.175099+00:00
212400000,9350678,SEATRUCK PACE       ,5BKW2  ,70,5.4,21,121,2,21,10,12,4,0,IEDUB               ,1,2023-10-12 05:45:55.810256+00:00
311001109,8521232,AMBIENCE,C6FH4,69,8.3,45,200,18,17,10,12,8,0,IE COB,1,2023-10-12 05:45:57.902871+00:00
235108007,0,HAVILAH             ,2HZZ8  ,70,3,24,3,5,5,0,0,24,60,INVERTOTE           ,1,2023-10-12 05:45:59.300345+00:00
232032780,0,KALLISTA HELEN      ,MIOR4  ,90,2.6,19,7,9,3,10,8,10,0,DUNSTAFFNAGE        ,1,2023-10-12 05:46:04.836632+00:00
232004148,0,LADY HEATHER        ,MZFT3  ,60,1.1,10,5,5,0,0,0,24,60,GBGSA               ,15,2023-10-12 05:46:08.646262+00:00
235068455,0,PICTON,2BQN5,50,1.5,10,9,3,3,1,1,1,1,                   ,1,2023-10-12 05:46:10.486647+00:00
248743000,9823352,LAURELINE           ,9HA4791,90,7,23,194,28,4,10,12,4,0,IEDUB               ,1,2023-10-12 05:46:12.841211+00:00
250108440,9071258,GERRY O SULLIVAN    ,EILC   ,50,5.2,12,18,6,5,0,0,24,60,,1,2023-10-12 05:46:14.989772+00:00
209952000,9214991,ULYSSES,C4HP2,61,6.3,10,194,18,18,10,12,10,30,DUBLIN<>HOLYHEAD,1,2023-10-12 05:46:16.927100+00:00
249107000,9209453,CATHERINE           ,9HA4113,0,6.9,162,20,14,12,10,12,5,0,IEORK               ,1,2023-10-12 05:46:17.566052+00:00
250098000,9112741,DSG ALEX ESCORT TUG ,EIDK   ,52,5.1,11,19,3,9,12,31,23,59,CORK                ,1,2023-10-12 05:46:24.796285+00:00
253596000,9285586,GEO OCEAN III,LXGP,90,4.5,17,61,13,5,10,12,18,0,"BREST, FR",1,2023-10-12 05:46:34.012271+00:00
245934000,9263605,THUN GENIUS         ,PBKM   ,89,6.5,114,1,8,7,10,13,1,0,IE DUB              ,1,2023-10-12 05:46:37.903533+00:00
257715000,9364100,RONJA VIKING        ,LAKA   ,70,5,24,33,5,7,10,2,8,30,CH16                ,1,2023-10-12 05:46:38.297453+00:00
232002653,880760000,SD WARDEN           ,GACZ   ,79,3.5,24,24,3,8,11,7,9,30,KYLE OF LOCHALSH    ,1,2023-10-12 05:46:42.775034+00:00
538009223,9362982,LENI                ,V7A4474,70,7,201,24,14,18,10,17,5,0,RU MMK              ,1,2023-10-12 05:46:43.334495+00:00
275493000,8516263,CEG GALAXY          ,YLPF   ,70,3.5,51,12,9,3,9,10,18,0,WICKLOW             ,1,2023-10-12 05:47:00.807012+00:00
314217000,9145554,WILSON MAAS         ,8PSZ   ,79,4.1,70,8,5,5,10,10,20,0,GBKYL               ,1,2023-10-12 05:47:05.599366+00:00
212637000,9803675,BG DIAMOND          ,5BVG4  ,79,7.3,135,18,12,12,10,11,13,45,IEORK               ,0,2023-10-12 05:47:17.460081+00:00
232006643,9818761,GINA MARY,MAQQ2,9,3,0,0,0,0,10,9,7,0,SCONSER,1,2023-10-12 05:47:23.440384+00:00
235025112,9319741,BUTE,MHPD8,69,3,11,61,7,8,10,12,21,30,GBRAY GBWMB,1,2023-10-12 05:47:24.885202+00:00
305389000,9433743,PEGASUS,V2ED2,31,5.8,15,35,7,7,10,14,7,0,GBHLY,1,2023-10-12 05:47:25.431357+00:00
232005850,0,FV BILLYROWNEY PZ532,MGMS9  ,30,3.8,9,6,3,3,0,0,24,60,FISHING GROUNDS     ,1,2023-10-12 05:47:36.194199+00:00
232007481,9826718,KIERA FIONA,MAWO2,52,2.6,5,21,4,6,10,10,16,20,CH 16 FOR INFO,1,2023-10-12 05:47:43.583276+00:00
235089447,700203,SEAMOGS ,MBRE3,36,1.9,9,6,1,4,9,4,8,0,OLD.COURT       ,15,2023-10-12 05:47:44.772455+00:00
636016722,9705885,ELKA ASTIR          ,D5HL6  ,80,8.2,161,28,12,23,10,5,18,0,FOR ORDERS          ,1,2023-10-12 05:48:12.333022+00:00
